ETL,ETL-2,Perovskite,Perovskite_deposition_procedure,Perovskite_deposition_method,Antisolvent,Precursor_solution,HTL,HTL_additive,ETL_Passivator,HTL_Passivator,Additive,Use_Cl,PCEbest,Cs,MA,FA,Rb,Pb,Sn,I,Br,Cl,Bandgap
TiO2,no,MAPbI3,one-step,spin2-3,no,DMSO,PTAA,Li+TBP,0,0,0,Cl,15.6,0,1,0,0,1,0,1,0,0,1.530113848
TiO2,PCBM,MAPbI3,two-step,vasp,no,na,Spiro-OMeTAD,Li+TBP,0,0,0,0,15.6,0,1,0,0,1,0,1,0,0,1.530113848
cTiO2,mTiO2,FAPbI3,two-step,CVD,no,na,Spiro-OMeTAD,Li+TBP,0,0,0,0,15.6,0,0,1,0,1,0,1,0,0,1.50607803
cTiO2,mTiO2,MAPbI3,two-step,spin-dip,no,DMF,Spiro-OMeTAD,Li+TBP,0,0,0,0,15.6,0,1,0,0,1,0,1,0,0,1.530113848
PCBM,rhodamine/C60/BCP/rhodamine/LiF,MAPbI3,one-step,spin2-3,toluene,DMSO+GBL,PEDOT:PSS,0,0,0,0,Cl,15.6,0,1,0,0,1,0,1,0,0,1.530113848
cTiO2,mTiO2,FAPbI3,two-step,spin-spin,no,DMF,PTAA,Li+TBP,0,0,0,0,15.6,0,0,1,0,1,0,1,0,0,1.50607803
TiO2-graphene,mAl2O3,MAPbI3,one-step,spin,no,DMF,Spiro-OMeTAD,Li+TBP,0,0,0,Cl,15.6,0,1,0,0,1,0,1,0,0,1.530113848
TiO2,no,MAPbI3,one-step,spin,chlorobenzene,DMF+DMSO,Spiro-OMeTAD,Li+TBP,0,0,0,0,15.61,0,1,0,0,1,0,1,0,0,1.530113848
cTiO2,mTiO2,(FAPbI3)0.85(MAPbBr3)0.15,one-step,spin2-3,chlorobenzene,DMF+DMSO,Spiro-IA,0,0,0,0,0,15.66,0,0.15,0.85,0,1,0,0.85,0.15,0,1.627176705
SnO2:C70-EDA,no,CsPbI2Br,one-step,spin2-3,ethylacetate,DMSO+IPA,Spiro-OMeTAD,Li+TBP,0,0,5-AVABr,0,15.66,1,0,0,0,1,0,0.666666667,0.333333333,0,1.888929762
TiO2,SnO2,CsPbI2Br,one-step,spin,chlorobenzene,DMSO,PTB7-Th,0,0,0,PT,0,15.67,1,0,0,0,1,0,0.666666667,0.333333333,0,1.888929762
TiO2-Ru,no,MAPbI3,one-step,spin,no,DMF,Spiro-OMeTAD,Li+TBP,0,0,0,Cl,15.7,0,1,0,0,1,0,1,0,0,1.530113848
TiO2,no,MAPbI3,two-step,spin-dip,no,DMF,Spiro-OMeTAD,Li+TBP,0,0,0,0,15.7,0,1,0,0,1,0,1,0,0,1.530113848
cTiO2,mTiO2,MAPbI3,one-step,spin,n+hexane,DMF+DMSO,Spiro-OMeTAD,Li+TBP,0,0,0,Cl,15.7,0,1,0,0,1,0,1,0,0,1.530113848
TiO2,no,MAPbI3,two-step,spin-spin,no,DMF,Spiro-OMeTAD,Li+TBP+FK209,0,0,0,0,15.7,0,1,0,0,1,0,1,0,0,1.530113848
PCBM,no,MAPbI3,one-step,spin,no,na,PEDOT:PSS-MoO3,0,0,0,0,Cl,15.7,0,1,0,0,1,0,1,0,0,1.530113848
TiO2,no,FA0.6MA0.4PbI(3-y)Cly,one-step,spin2-3,diethylether,DMSO+GBL,Spiro-OMeTAD,Li+TBP+FK102,0,0,0,Cl,15.7,0,0.4,0.6,0,1,0,1,0,0,1.571951249
TiO2,no,FAPbI3,one-step,spin,no,DMF,Spiro-OMeTAD,Li+TBP+FK209,0,0,0,0,15.7,0,0,1,0,1,0,1,0,0,1.50607803
SnO2,no,MAPbI3,one-step,spin,no,DMF,Spiro-OMeTAD,Li+TBP+FK209,0,0,0,0,15.7,0,1,0,0,1,0,1,0,0,1.530113848
cTiO2,TiO2flowerlike,MAPbI3,two-step,spin-dip,no,DMF,Spiro-OMeTAD,Li+TBP,0,0,0,0,15.7,0,1,0,0,1,0,1,0,0,1.530113848
cTiO2,mTiO2,MAPbI3,one-step,spin2-3,no,GBL,PTAA,Li+TBP,0,0,0,0,15.7,0,1,0,0,1,0,1,0,0,1.530113848
ZnO,C3-SAM,MAPbI3,one-step,spin,no,DMF,Spiro-OMeTAD,Li,0,0,0,0,15.7,0,1,0,0,1,0,1,0,0,1.530113848
TiO2,mAl2O3,MAPbI3,one-step,spin,no,DMF,Spiro-OMeTAD,Li+TBP,0,0,0,Cl,15.7,0,1,0,0,1,0,1,0,0,1.530113848
ZnO,no,MAPbI3,two-step,spin-dip,no,DMF,Spiro-OMeTAD,Li+TBP,0,0,0,0,15.7,0,1,0,0,1,0,1,0,0,1.530113848
ZnORGO5%-CuInS220%,no,MAPbI3,two-step,spin-spin,no,DMF+IPA,no,0,0,0,0,0,15.74,0,1,0,0,1,0,1,0,0,1.530113848
TiO2,no,CsPbI3,one-step,spin,IPA,DMSO,Spiro-OMeTAD,Li+TBP,0,0,0,0,15.75,1,0,0,0,1,0,1,0,0,1.686142745
SnO2,no,MAPb0.896Cs0.104(I0.896Br0.104)3,one-step,spin,no,DMF+DMSO,Spiro-OMeTAD,Li+TBP,0,0,0,0,15.77,0.104,0.896,0,0,1,0,0.896,0.104,0,1.693486501
TiO2,no,MAPbI3,one-step,spin,no,DMF,Spiro-OMeTAD,Li+TBP,0,0,0,0,15.78,0,1,0,0,1,0,1,0,0,1.530113848
TiO2,SnO2,(FAPbI3)0.95(MAPbBr3)0.05,one-step,spin2-3,diethylether,DMF+DMSO,Spiro-OMeTAD,Li+TBP,0,0,PA-I,Cl,15.8,0,0.05,0.95,0,1,0,0.95,0.05,0,1.51483
cTiO2,mTiO2,MAPbI3,one-step,spin,no,DMF,Spiro-OMeTAD,Li+TBP+FK209,0,0,0,0,15.8,0,1,0,0,1,0,1,0,0,1.530113848
PCBM,no,MAPbI3,one-step,spin,no,DMF+HI,PEDOT:PSS,0,0,0,0,0,15.8,0,1,0,0,1,0,1,0,0,1.530113848
TiO2,no,MAPbI3,one-step,spin,no,DMF+HBr,Spiro-OMeTAD,TFSI+TBP,0,0,0,0,15.8,0,1,0,0,1,0,1,0,0,1.530113848
cTiO2,mTiO2,MAPbI3,one-step,spin,no,DMF+DMSO,Spiro-OMeTAD,Li+TBP,0,0,0,0,15.8,0,1,0,0,1,0,1,0,0,1.530113848
TiO2,C60,MAPbI3,one-step,spin,no,DMF,PDTSTTz-4,Li+TBP,0,0,0,Cl,15.8,0,1,0,0,1,0,1,0,0,1.530113848
TiO2,mSiO2,MAPbI3,one-step,spin,no,DMF,Spiro-OMeTAD,0,0,0,0,Cl,15.8,0,1,0,0,1,0,1,0,0,1.530113848
TiO2,no,MAPbI3,one-step,spin,no,DMF,Spiro-OMeTAD,Li+TBP,0,0,0,0,15.8,0,1,0,0,1,0,1,0,0,1.530113848
cTiO2,mTiO2,MA0.13FA0.87PbI2.61Br0.39,one-step,spin2-3,chlorobenzene,DMF+DMSO,Spiro-OMeTAD,Li+TBP,0,0,0,0,15.82,0,0.13,0.87,0,1,0,0.87,0.13,0,1.613063247
BCP,PCBM,MAPbI3,one-step,spin,chlorobenzene,DMF+DMSO,PEDOT:PSS,0,0,0,0,0,15.82,0,1,0,0,1,0,1,0,0,1.530113848
BCP,C60,Cs0.05MA0.12FA0.83Pb(I0.85Br0.15)3,one-step,spin2-3,toluene,DMF+DMSO,TPT-S6,0,0,0,0,0,15.86,0.05,0.12,0.83,0,1,0,0.85,0.15,0,1.607323828
SnO2,C60,MAPbI3,one-step,spin2-3,toluene,DMF+DMSO,Spiro-OMeTAD,Li+TBP,0,PEO,0,0,15.86,0,1,0,0,1,0,1,0,0,1.530113848
TiO2,no,MAPbI3,one-step,spin,chlorobenzene,DMF+DMSO,Spiro-OMeTAD,Li+TBP,0,0,IR-P,0,15.88,0,1,0,0,1,0,1,0,0,1.530113848
SnO2,no,CsPbI2Br,two-step,spin-spin,no,others,P3HT/MoO3,0,0,0,0,0,15.9,1,0,0,0,1,0,0.666666667,0.333333333,0,1.888929762
cTiO2,TiO2-na0flower,MAPbI3,one-step,spin,no,GBL,PTAA,Li+TBP,0,0,0,Cl,15.9,0,1,0,0,1,0,1,0,0,1.530113848
cTiO2,mTiO2,MAPbI3,one-step,spin2-3,no,DMF+DMSO,Spiro-OMeTAD,Li+TBP+FK209,0,0,0,0,15.9,0,1,0,0,1,0,1,0,0,1.530113848
PCBM,no,MAPbI3,one-step,spin,no,DMF,NiOx,DEA,0,0,0,Cl,15.9,0,1,0,0,1,0,1,0,0,1.530113848
TiO2,mAl2O3,MAPbI3,one-step,spin,no,DMF,Spiro-OMeTAD,Li+TBP,0,0,0,Cl,15.9,0,1,0,0,1,0,1,0,0,1.530113848
cTiO2,mTiO2,(FAPbI3)0.85(MAPbBr3)0.15,one-step,spin2-3,chlorobenzene,DMF+DMSO,Spiro-OMeTAD,Li+TBP,0,0,0,0,15.93,0,0.15,0.85,0,1,0,0.85,0.15,0,1.627176705
nsg-ZnO,no,Cs0.1FA0.9PbI3,one-step,spin,chlorobenzene,DMF+DMSO,Spiro-OMeTAD,Li+TBP+FK209,0,0,0,Cl,15.97,0.1,0,0.9,0,1,0,1,0,0,1.513616667
Zn2Sn3O8,no,MAPbI3,one-step,spin2-3,diethylether,DMF+DMSO,Spiro-OMeTAD,Li+TBP+FK209,0,0,0,0,16,0,1,0,0,1,0,1,0,0,1.530113848
SnO2,PCBM,Cs0.15FA0.85PbI2.55Br0.45,one-step,spin,no,DMF+DMSO,PTA,0,0,0,0,0,16,0.15,0,0.85,0,1,0,0.85,0.15,0,1.599617799
TiO2,CdS,MAPbI3,one-step,spin,no,DMF,Spiro-OMeTAD,Li+TBP,0,0,0,0,16,0,1,0,0,1,0,1,0,0,1.530113848
PCBM,no,MAPbI3,one-step,spin,chlorobenzene,DMF+DMSO+LiI,NiOx,0,0,0,0,0,16,0,1,0,0,1,0,1,0,0,1.530113848
TiO2,no,Cs0.05(MA0.17FA0.83)0.95Pb(I0.83Br0.17)3,one-step,spin2-3,chlorobenzene,DMF+DMSO,Spiro-OMeTAD,Li+TBP,0,0,0,0,16,0.05,0.1615,0.7885,0,1,0,0.83,0.17,0,1.629287024
cTiO2,mTiO2,MAPbI3,one-step,spin2-3,chlorobenzene,DMSO,Spiro-OMeTAD,0,0,0,0,0,16,0,1,0,0,1,0,1,0,0,1.530113848
PFN-2TNDI,no,MAPbI3,two-step,spin-spin,no,DMF,Spiro-OMeTAD,Li+TBP,0,0,0,Cl,16,0,1,0,0,1,0,1,0,0,1.530113848
cTiO2,mTiO2,MAPbI3,two-step,spin-spin,no,DMF+DMSO,Spiro-OMeTAD,Li+TBP,0,0,0,0,16,0,1,0,0,1,0,1,0,0,1.530113848
