ETL,ETL-2,Perovskite_deposition_procedure,Perovskite_deposition_method,Antisolvent,Precursor_solution,HTL,HTL_additive,ETL_Passivator,HTL_Passivator,Additive,Use_Cl,Cs,MA,FA,Rb,Pb,Sn,I,Br,Bandgap,PCEbest
53,105,0,0,30,85,113,58,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,12.7
53,105,1,33,30,2,113,0,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,8.758333333333333
141,82,0,35,32,14,179,25,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,18.1
92,105,0,35,5,14,179,25,0,15,1,0,0.05,0.14,0.81,0.0,1.0,0.0,0.85,0.15,1.597903852,21.16
53,8,0,23,30,64,113,0,0,0,1,1,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,13.3
53,105,0,23,30,28,113,0,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,5.5
133,87,0,23,30,14,179,34,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,15.6
78,105,0,23,5,14,179,25,6,0,1,0,0.049,0.0,0.931,0.02,1.0,0.0,0.97,0.01,1.535666667,21.63
78,105,0,35,25,14,179,25,0,0,30,0,0.0,0.073,0.927,0.0,1.0,0.0,0.931,0.069,1.515475,22.195
119,1,0,23,5,14,179,25,28,0,1,1,0.17,0.0,0.83,0.0,1.0,0.0,0.9,0.1,1.591451597,20.6
133,87,0,35,5,14,176,42,0,0,1,0,0.05,0.1,0.85,0.0,1.0,0.0,0.9,0.1,1.597490558,18.15
133,93,0,35,5,14,204,0,0,0,1,0,0.0,0.15,0.85,0.0,1.0,0.0,0.85,0.15,1.627176705,13.2
78,40,0,23,30,49,137,0,0,0,1,1,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,17.0
78,105,0,35,25,14,219,0,0,0,1,0,0.0,0.05,0.95,0.0,1.0,0.0,0.95,0.05,1.51483,20.92
92,105,0,23,30,12,179,25,0,0,1,1,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,17.3
113,13,0,23,30,78,179,25,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,16.1
