ETL,ETL-2,Perovskite_deposition_procedure,Perovskite_deposition_method,Antisolvent,Precursor_solution,HTL,HTL_additive,ETL_Passivator,HTL_Passivator,Additive,Use_Cl,Cs,MA,FA,Rb,Pb,Sn,I,Br,Bandgap,PCEbest
133,53,0,35,5,14,179,25,0,0,1,0,0.05,0.475,0.475,0.0,1.0,0.0,1.0,0.0,1.57363231,18.5
105,40,0,23,30,14,179,25,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,20.3
133,87,0,23,30,2,179,7,0,0,1,1,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,18.0
53,66,0,23,32,64,83,0,0,0,1,1,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,11.2
133,87,0,23,30,2,31,0,0,0,1,1,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,5.8
92,83,0,23,30,32,171,0,0,0,1,1,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,16.2
133,87,0,23,30,2,179,25,0,0,1,1,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,9.1
133,87,0,35,20,14,179,25,0,0,1,1,0.0,0.03,0.97,0.0,1.0,0.0,0.97,0.03,1.5184,22.4
133,87,1,38,30,2,237,0,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,10.6
61,105,0,23,32,2,113,0,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,10.3
133,87,1,33,30,2,20,0,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,9.7
78,105,0,18,30,14,179,25,0,0,1,0,0.16,0.0,0.84,0.0,1.0,0.0,0.88,0.12,1.595085714,16.35
78,13,0,23,1,14,163,0,0,0,1,0,0.05,0.16,0.79,0.0,1.0,0.0,0.83,0.17,1.607224167,20.3
133,87,0,23,30,75,31,0,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,6.0
78,105,0,35,25,14,218,0,0,0,1,0,0.0,0.05,0.95,0.0,1.0,0.0,0.95,0.05,1.51483,21.54
53,10,1,0,30,85,113,58,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,0.4,0.6,1.843946429,1.2
78,105,0,35,25,14,237,0,19,0,1,0,1.0,0.0,0.0,0.0,1.0,0.0,0.666666667,0.333333333,1.888929762,12.68
138,105,0,23,30,2,179,25,0,0,1,1,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,7.533333333333334
133,87,1,33,30,2,179,25,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,11.875499999999999
78,105,0,23,5,14,179,25,0,0,60,0,0.0,0.15,0.85,0.0,1.0,0.0,1.0,0.0,1.548303579,23.555
92,105,0,23,30,2,94,0,0,0,1,1,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,6.9
53,8,0,35,32,75,83,0,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,3.6
133,87,0,35,5,14,179,25,0,0,72,1,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.50607803,22.25
78,105,0,23,25,14,179,25,0,0,1,1,0.15,0.0,0.85,0.0,1.0,0.0,1.0,0.0,1.54605,18.419999999999998
53,8,1,33,30,16,113,0,0,0,1,0,0.0,1.0,0.0,0.0,0.75,0.25,1.0,0.0,1.33,13.9
133,87,0,35,5,14,179,25,0,0,1,0,0.05,0.05,0.9,0.0,1.0,0.0,0.95,0.05,1.519563333,23.0
65,40,1,14,30,85,179,25,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,12.9
133,87,1,29,30,2,205,33,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,10.9
53,105,1,38,30,2,113,0,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,15.300000000000002
92,105,1,33,30,2,237,0,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,4.875
78,105,0,35,4,14,179,25,0,0,42,1,0.15,0.0,0.85,0.0,1.0,0.0,0.98,0.02,1.547616667,23.0
92,105,0,23,30,6,179,25,0,0,1,1,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,13.6
133,87,1,29,30,2,138,0,0,0,1,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.263672727,6.2
92,105,0,35,5,64,179,33,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,12.8
133,87,0,23,20,14,179,25,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,0.953333333,0.046666667,1.572768015,18.0
6,13,0,23,30,14,113,0,0,65,1,1,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.328415,11.74
92,105,1,29,30,2,50,0,0,0,1,1,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,4.9
133,87,0,35,5,14,179,25,0,67,1,1,0.05,0.1,0.85,0.0,1.0,0.0,0.97,0.03,1.541113333,21.759999999999998
92,83,0,35,30,75,138,25,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,3.2
119,74,0,23,32,2,92,0,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,4.15
92,105,0,35,20,2,179,33,0,0,1,1,0.0,0.4,0.6,0.0,1.0,0.0,1.0,0.0,1.571951249,19.7
92,49,0,23,5,63,147,0,0,0,75,0,1.0,0.0,0.0,0.0,1.0,0.0,0.666666667,0.333333333,1.888929762,15.67
133,97,1,33,30,2,179,25,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,14.5
27,105,1,0,30,85,179,0,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,7.9
78,40,0,23,30,14,179,33,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,19.1
78,105,0,23,5,14,179,25,14,0,1,0,0.1,0.0,0.9,0.0,1.0,0.0,1.0,0.0,1.513616667,24.1575
133,87,1,29,30,2,156,25,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,8.9
133,98,0,35,5,14,15,34,0,0,1,0,0.1,0.135,0.765,0.0,1.0,0.0,0.85,0.15,1.606233361,18.05
6,13,0,30,30,2,138,0,0,0,21,0,0.05,0.25,0.7,0.0,1.0,0.0,1.0,0.0,1.549738276,20.36
133,87,0,35,5,14,179,25,0,75,1,0,0.05,0.1,0.85,0.0,1.0,0.0,0.97,0.03,1.541113333,23.5
53,105,0,35,30,46,121,0,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,0.666666667,0.333333333,1.829682619,11.6
78,105,0,35,5,14,174,25,0,0,1,0,0.0,0.16,0.84,0.0,1.0,0.0,0.84,0.16,1.635313258,19.9
92,105,0,23,20,14,179,25,0,0,1,0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.50607803,14.45
133,87,0,35,5,14,176,43,0,0,1,0,0.05,0.075,0.875,0.0,1.0,0.0,0.925,0.075,1.527985714,22.04
6,40,0,35,5,14,138,0,0,0,1,0,0.05,0.1615,0.7885,0.0,1.0,0.0,0.83,0.17,1.629287024,19.08
21,105,1,29,30,2,179,25,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,15.1
92,105,1,29,30,2,51,0,0,0,1,1,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,8.8
133,87,1,29,30,2,68,33,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,8.7
133,87,0,35,5,14,179,25,0,59,1,0,0.05,0.1615,0.7885,0.0,1.0,0.0,0.83,0.17,1.629287024,19.426666666666666
133,87,1,33,30,2,19,0,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,10.7
92,105,0,36,30,2,179,25,0,0,1,1,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,10.6
53,8,1,33,30,18,138,0,0,32,1,1,0.05,0.076,0.874,0.0,1.0,0.0,0.92,0.08,1.563985714,23.0
92,105,0,35,30,86,179,34,0,0,1,0,0.13,0.0,0.87,0.0,1.0,0.0,0.666666667,0.333333333,1.718430952,14.3
53,105,0,23,30,2,113,19,0,0,1,1,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,15.4
92,105,0,35,30,14,179,34,0,0,1,0,0.05,0.14,0.81,0.0,1.0,0.0,0.85,0.15,1.597903852,17.6
78,105,1,33,30,50,179,25,0,0,1,1,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,19.6
92,105,1,29,30,63,179,25,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,14.26
133,87,0,35,30,75,154,36,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,12.4
53,105,0,35,32,2,113,0,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2.275418182,4.7
